Year,National Average Forecast
2004,132960.4193548387
2005,146443.0
2006,163341.23529411765
2007,176203.91176470587
2008,205441.14705882352
2009,232477.64705882352
2010,254150.38235294117
2011,260232.85294117648
2012,276523.20588235295
2013,311572.76470588235
2014,333951.5
2015,354941.9117647059
2016,382382.67647058825
2017,405307.4411764706
2018,431887.67647058825
2019,460090.1176470588
2020,492543.9117647059
2021,513843.35294117645
2022,550285.9705882353
2023,597448.2352941176
2024,629839.2647058824
2025,665839.7211764706
2026,702945.6852941177
2027,740051.6491176471
2028,777157.6108823529
2029,814365.2355882353
